,network,station,NOP,RMSE_RF,ubRMSE_RF,r_RF,LC,Climate,RMSE_cci,ubRMSE_cci,r_cci
PBO-H2O_BUZZARDRST.csv,PBO-H2O,BUZZARDRST,,0.03640405126331725,0.03530767012957818,0.6408770545786714,70.0,Csb,0.06440893008543404,0.04590274525829596,0.39655614898254343
PBO-H2O_CALAVERAS.csv,PBO-H2O,CALAVERAS,,0.05188416269828083,0.0470001586803755,0.8657246568311258,130.0,Csa,0.05696035064783061,0.05208533576352961,0.8262263067731338
PBO-H2O_CALCITYAPT.csv,PBO-H2O,CALCITYAPT,,0.029721807842692446,0.029624993206655268,0.6792761513207998,120.0,BWh,0.03955582462675521,0.033585920974491514,0.5932683757885869
PBO-H2O_CALCITYPLR.csv,PBO-H2O,CALCITYPLR,,0.030053128005418962,0.02994806106027652,0.6181730057842023,120.0,BWh,0.04188658439962649,0.035714554253298385,0.5441014745356221
PBO-H2O_CALIVALLEY.csv,PBO-H2O,CALIVALLEY,,0.044547516233062766,0.0391301026667033,0.8322518871610475,130.0,BSk,0.05616098099250003,0.04320064356504731,0.7661656674722658
PBO-H2O_CAMPELLIOT.csv,PBO-H2O,CAMPELLIOT,,0.028195449725158604,0.02818329053701691,0.8856653915988691,120.0,Csb,0.06926220783774856,0.04892280412511382,0.6833769805487473
PBO-H2O_CARRIZORAN.csv,PBO-H2O,CARRIZORAN,,0.040621937036294145,0.04014647785930455,0.910311525151557,130.0,BSk,0.06359869654897549,0.06262787776494108,0.7731966329747617
PBO-H2O_CHILEOFLAT.csv,PBO-H2O,CHILEOFLAT,,0.029091036975947504,0.028959754663478336,0.3248240316275458,130.0,Csa,0.1128112808032372,0.03166825572220148,0.03138319685699946
PBO-H2O_CLAYTONARP.csv,PBO-H2O,CLAYTONARP,,0.0787484151150306,0.07871050085556709,0.5228954322461681,130.0,BSk,0.0815825971756845,0.07394192210567704,0.6696030287769376
PBO-H2O_COXCOMBMTN.csv,PBO-H2O,COXCOMBMTN,,0.030319380337688297,0.02733617270358261,0.03632636375255189,120.0,BWh,0.08671029701441879,0.044164208561625555,0.19661028055907664
PBO-H2O_CRRS-SCGN.csv,PBO-H2O,CRRS-SCGN,,0.04333137621378079,0.04332110742501705,0.3288920958623248,120.0,BWh,0.08072694119855171,0.0461840728473267,0.24031677970259593
